keyword,question,content
"gia ca,gia tien,bang gia,chi phi,bao nhieu,gia ca,giá tiền,giá cả,tiền",Bảng giá các dịch vụ tại Gia Đình Việt được tính như thế nào?,"Giá dịch vụ cơ bản dao động từ 100.000đ/giờ đến 155.000đ/giờ. Tổng vệ sinh có giá từ 150.000đ/giờ. Dịch vụ chăm sóc người già và trẻ em từ 130.000đ/giờ. Nấu ăn gia đình từ 120.000đ/giờ."
"gia ca,phu thu,cuoi tuan,le tet,gia ca",Có phụ thu ngày Lễ và Tết hoặc cuối tuần không?,"Có, hệ thống sẽ phụ thu thêm từ 20% đến 50% đơn giá cơ bản khi đặt lịch vào ngày thứ Bảy, Chủ Nhật hoặc các ngày Lễ, Tết nhằm hỗ trợ thêm thu nhập cho Người giúp việc."
"gia ca,dung cu,phu phi,chat tay rua,gia ca",Gia Đình Việt có cung cấp dụng cụ dọn dẹp và nước tẩy rửa không?,"Mặc định, khách hàng cần chuẩn bị sẵn dụng cụ dọn dẹp. Nếu quý khách muốn Người giúp việc mang theo công cụ và chất tẩy rửa, phí phụ thu thêm sẽ là 30.000đ đến 50.000đ mỗi buổi."
dat lich,Cách đăng ký đặt lịch dịch vụ dọn dẹp trên website?,"Quý khách chỉ cần truy cập website Gia Đình Việt, bấm vào phần 'Dịch vụ', nhập đầy đủ thông tin địa chỉ, thời gian làm việc, chọn loại dịch vụ rồi ấn 'Đặt lịch'."
dat lich,Làm sao để tìm thấy người giúp việc phù hợp?,"Sau khi bạn tạo yêu cầu đặt lịch, hệ thống sẽ tự động ghép nối với các Người giúp việc xung quanh đáp ứng tốt nhất yêu cầu về thời gian và kỹ năng của bạn."
dat lich,Lịch làm việc tối thiểu cho mỗi lần đặt là bao lâu?,"Thời lượng tối thiểu cho một đơn đặt lịch giúp việc theo giờ thông thường là 2 tiếng nhằm đảm bảo hiệu quả công việc và thu nhập tối thiểu cho Helper."
thanh toan,Gia Đình Việt hỗ trợ những hình thức thanh toán nào?,"Hệ thống hỗ trợ 2 hình thức: Thanh toán trực tiếp bằng tiền mặt cho Người giúp việc sau khi kết thúc công việc, hoặc thanh toán trực tuyến qua cổng VNPay khi đặt lịch."
thanh toan,Tôi gặp lỗi khi thực hiện giao dịch qua cổng VNPay thì xử lý thế nào?,"Khi xảy ra lỗi thanh toán VNPay, quý khách vui lòng kiểm tra lại số dư thẻ, tài khoản ngân hàng đã kích hoạt thanh toán online hay chưa, hoặc liên hệ ngay hotline CSKH 123-456-789 để được hỗ trợ kịp thời."
doi ngu,Hồ sơ lý lịch của Người giúp việc có an toàn không?,"Tất cả Người giúp việc (Helper) của Gia Đình Việt đều phải trải qua quy trình xác minh lý lịch tư pháp nghiêm ngặt, gửi bản sao CCCD công chứng và giấy xác nhận dân sự từ địa phương."
doi ngu,Quy trình tuyển dụng và đào tạo Helper diễn ra như thế nào?,"Helper sau khi đăng ký tài khoản bắt buộc phải được Operator phỏng vấn trực tiếp, kiểm tra kỹ năng thực hành dọn dẹp gia đình và tham gia khóa học quy tắc ứng xử trước khi chính thức nhận việc."
tuyen dung,Làm sao để tôi đăng ký làm Người giúp việc (Helper)?,"Bạn tải ứng dụng hoặc truy cập vào website Gia Đình Việt, thực hiện đăng ký tài khoản và chọn vai trò 'Người giúp việc', sau đó điền thông tin và cập nhật các hồ sơ cá nhân để chờ Operator phê duyệt."
tuyen dung,Thời gian phê duyệt tài khoản Người giúp việc là bao lâu?,"Quy trình kiểm tra hồ sơ và phê duyệt thường mất từ 1 đến 3 ngày làm việc. Operator sẽ chủ động liên hệ với bạn để hẹn lịch phỏng vấn và đánh giá năng lực."
lien he,Làm thế nào để phản hồi góp ý về chất lượng dịch vụ?,"Quý khách có thể liên hệ trực tiếp qua số Hotline (+84) 123-456-789 hoặc hòm thư điện tử giadinhviet.support@gmail.com. Chúng tôi hoạt động từ 8h00 đến 21h00 tất cả các ngày trong tuần."
hoan tien,Quy định và điều kiện được hoàn tiền khi hủy lịch là gì?,"Nếu quý khách yêu cầu hủy lịch làm việc trước ít nhất 24 giờ so với giờ làm việc dự kiến, hệ thống sẽ hoàn trả 100% tiền đã thanh toán. Trường hợp hủy muộn dưới 24 giờ sẽ bị khấu trừ phí phạt 30% tổng giá trị đơn."
hoan tien,Sau bao lâu kể từ khi hủy lịch tôi mới nhận được tiền hoàn?,"Quá trình hoàn tiền qua VNPay được xử lý tự động trong vòng 3 đến 5 ngày làm việc đối với thẻ nội địa và khoảng 7 đến 15 ngày làm việc đối với thẻ tín dụng quốc tế."
danh gia,Làm thế nào để đánh giá chất lượng của Người giúp việc?,"Sau mỗi buổi làm việc kết thúc, khách hàng có thể thực hiện đánh giá (từ 1 đến 5 sao) và để lại ý kiến đóng góp cho Người giúp việc trực tiếp trong mục 'Lịch sử đặt lịch' trên tài khoản của khách hàng."
khieu nai,Làm gì khi phát hiện hành vi trộm cắp hoặc tài sản hư hỏng trong quá trình làm việc?,"Quý khách hãy thông báo cho Gia Đình Việt qua Hotline trong vòng tối đa 24 giờ kể từ thời điểm phát hiện. Chúng tôi sẽ phối hợp với cơ quan chức năng để xác minh và thực hiện nghĩa vụ bồi hoàn tổn thất theo quy định bảo hiểm."
bao cao,Tôi có thể đổi Người giúp việc khác nếu không hài lòng không?,"Có, quý khách hoàn toàn có thể yêu cầu đổi Helper khác cho những buổi dọn dẹp tiếp theo bằng cách gửi phản hồi trong phần nhận xét hoặc báo cáo cho bộ phận chăm sóc khách hàng."
thanh toan,Tôi có phải trả thêm bất kỳ phụ phí nào khác ngoài số tiền hiển thị trên đơn không?,"Không. Số tiền hiển thị trên màn hình đặt lịch là chi phí cuối cùng bao gồm thuế và các khoản phụ thu (nếu có). Quý khách không phải trả thêm bất kỳ chi phí ngoài nào trừ khi tự thỏa thuận thêm công việc khác."
makhuyenmai,Làm cách nào sử dụng mã giảm giá khi đặt dịch vụ?,"Tại bước thanh toán đơn hàng, quý khách nhập mã ưu đãi vào ô 'Mã giảm giá/Khuyến mãi' và chọn 'Áp dụng', hệ thống sẽ tự động trừ đi số tiền được giảm tương ứng trên tổng hóa đơn thanh toán."
chamsoc,Dịch vụ chăm sóc người già bao gồm các công việc cụ thể nào?,"Dịch vụ bao gồm bầu bạn trò chuyện, đi chợ, nấu bếp ăn dinh dưỡng phù hợp bệnh lý, nhắc người bệnh uống thuốc đúng giờ, hỗ trợ lau dọn phòng riêng và giặt đồ cho người được chăm sóc."
chambebe,Dịch vụ trông em bé/Chăm bé sơ sinh có cần yêu cầu bằng cấp chuyên môn không?,"Helper đăng ký chăm sóc trẻ bắt buộc có chứng chỉ điều dưỡng, sư phạm mầm non hoặc tối thiểu 3 năm kinh nghiệm thực tế đã qua kiểm chứng của trung tâm."
nauan,Tôi muốn yêu cầu Helper nấu các món ăn theo chế độ ăn kiêng có được không?,"Được. Quý khách vui lòng cung cấp chi tiết thực đơn ăn kiêng, các loại thực phẩm dị ứng hoặc khẩu vị đặc biệt (ít muối, ít dầu mỡ) cho Helper trước khi bắt đầu chuẩn bị bữa ăn."
khac,Đặt lịch giúp việc định kỳ (theo tuần/tháng) có ưu đãi gì hơn không?,"Đặt lịch định kỳ giúp quý khách có cơ hội giữ cố định Helper quen thuộc làm việc theo khung giờ mong muốn và nhận mức giá chiết khấu ưu đãi rẻ hơn từ 10% đến 15% so với đặt lịch đơn lẻ."
chinhsach,Chính sách bảo mật thông tin khách hàng của hệ thống hoạt động thế nào?,"Tất cả dữ liệu cá nhân bao gồm số điện thoại, email và thông tin thẻ tín dụng của khách hàng đều được mã hóa bằng chuẩn SSL 256-bit và chỉ sử dụng cho mục đích vận hành đặt lịch trên hệ thống."
khac,Tôi có cần phải ở nhà trong suốt thời gian Người giúp việc dọn dẹp không?,"Không nhất thiết. Ở những buổi đầu tiên, quý khách nên ở nhà để hướng dẫn cụ thể về bố cục đồ đạc và quy định gia đình. Các buổi sau, quý khách hoàn toàn có thể bàn giao chìa khóa hoặc mã cửa cho Helper tin cậy."
khieu nai,Làm sao khi Người giúp việc tự ý hủy lịch làm việc đột xuất?,"Nếu Helper hủy lịch, hệ thống sẽ ngay lập tức gửi thông báo tìm kiếm Helper thay thế mới để tránh ảnh hưởng kế hoạch của bạn. Nếu không tìm được người thay thế, hệ thống sẽ thực hiện hoàn toàn bộ tiền cho khách hàng."
giamgia,Hạn sử dụng của mã giảm giá khi đăng ký khách hàng mới là bao lâu?,"Mã giảm giá chào mừng thành viên mới thường có giá trị sử dụng trong vòng 30 ngày kể từ ngày tài khoản của bạn được kích hoạt thành công."
doingu,Có giới hạn độ tuổi hoạt động của Người giúp việc trên nền tảng không?,"Nhằm đảm bảo sức lao động và chất lượng phục vụ tốt nhất, độ tuổi của Helper tại hệ thống được quy định từ 18 đến 55 tuổi đối với nữ, và từ 18 đến 60 tuổi đối với nam."
tuyendung,Nếu tôi không đạt yêu cầu phỏng vấn tuyển dụng thì có được đăng ký lại không?,"Gia Đình Việt cho phép ứng viên đăng ký tuyển dụng lại sau thời gian 3 tháng kể từ ngày phỏng vấn chưa đạt yêu cầu để có thêm sự tích lũy kinh nghiệm và rèn luyện kỹ năng cần thiết."
datlich,Tôi có thể đổi khung giờ đã đặt trước đó hay không?,"Dịch vụ hỗ trợ thay đổi thời gian đặt lịch miễn phí nếu thao tác trước tối thiểu 12 tiếng so với giờ làm việc dự kiến. Bạn thực hiện thay đổi trực tiếp ngay trên chi tiết lịch đặt."
don dep,Dịch vụ dọn nhà theo giờ gồm những công việc cụ thể nào?,"Bao gồm quét dọn sàn nhà, lau bụi tủ kệ bàn ghế, dọn dẹp phòng khách, lau chùi nhà vệ sinh, cọ rửa bồn rửa chén, đổ rác và quét sân trước/sau."
don dep,Tôi có thể cung cấp danh sách công việc ưu tiên cho Helper không?,"Hoàn toàn được. Bạn nên trao đổi thẳng thắn với Helper khi họ vừa đến và lập bảng danh sách công việc ưu tiên cần thực hiện trước trong khung giờ đã đặt."
don dep,Người giúp việc dọn dẹp theo giờ có làm công việc ủi đồ không?,"Có. Ủi đồ và gấp xếp quần áo nằm trong nghiệp vụ phụ trợ của giúp việc theo giờ. Quý khách vui lòng phân bổ thời gian hợp lý để Helper kịp hoàn thành."
don dep,Dịch vụ dọn dẹp có bao gồm việc lau dọn mặt ngoài kính nhà cao tầng không?,"Không. Nhằm đảm bảo an toàn lao động, Helper chỉ thực hiện lau mặt kính bên trong căn hộ hoặc các vị trí ban công thấp, không thực hiện leo trèo đu dây lau kính mặt ngoài."
tong ve sinh,Sự khác biệt giữa dọn dẹp theo giờ và tổng vệ sinh là gì?,"Tổng vệ sinh sử dụng nhiều máy móc chuyên dụng (máy chà sàn, máy hút bụi công nghiệp) để làm sạch sâu từ trần nhà đến sàn nhà, gỡ bỏ vết xi măng, sơn bám sau xây dựng sâu hơn giúp việc theo giờ."
tong ve sinh,Tôi có cần hỗ trợ Helper di chuyển đồ đạc nặng khi tổng vệ sinh không?,"Helper có thể hỗ trợ di chuyển đồ nhẹ. Nhưng với tủ quần áo gỗ lớn, giường ngủ hay đồ điện tử cồng kềnh, quý khách cần có người hỗ trợ trước để đảm bảo an toàn cho đồ vật."
